work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1.0,2,2,90,0.0034884486276574736,21,0.1337579617834395,6,0.0,6,2
1.0,2,2,90,0.0018429539919699858,21,0.07006369426751592,6,0.0,6,2
1.0,2,0,90,0.0038175475547949714,21,0.1464968152866242,84,0.0,74,1
1.0,2,0,90,0.003159349700519976,21,0.12101910828025478,84,0.0,74,1
1.0,2,2,87,0.007437635753307444,21,0.28662420382165604,84,0.0,74,1
1.0,2,2,87,0.005463042190482458,21,0.21019108280254775,84,0.0,74,1
1.0,3,2,33,0.0062133877443559535,21,0.2392356687898089,84,0.0,74,1
1.0,3,2,33,0.0033238991640887248,21,0.12738853503184713,84,0.0,74,1
1.0,3,2,54,0.0021720529191074835,7,0.10828025477707007,31,0.0,27,1
1.0,3,2,54,0.0010202066741262423,7,0.052547770700636945,31,0.0,27,1
1.0,3,2,46,0.002501151846244981,2,0.0690828025477707,12,0.0,11,1
1.0,3,2,46,0.0020075034555387347,2,0.05438471337579617,12,0.0,11,1
1.0,2,2,46,0.0032350424537616004,21,0.12394904458598727,84,0.0,74,1
1.0,2,2,46,0.0020107944448101095,21,0.07656050955414012,84,0.0,74,1
1.0,2,2,29,0.005403804383597709,21,0.20789808917197453,84,0.0,74,1
1.0,2,2,29,0.002402422168103732,21,0.09171974522292993,84,0.0,74,1
1.0,3,2,90,0.004080826696504969,21,0.15668789808917197,12,0.0,11,1
1.0,3,2,90,0.0019087737773974857,21,0.07261146496815286,12,0.0,11,1
1.0,2,2,116,0.007832554465872442,21,0.3019108280254777,84,0.0,74,1
1.0,2,2,116,0.005068123477917462,21,0.1949044585987261,84,0.0,74,1
1.0,3,2,67,0.004146646481932468,21,0.1592356687898089,84,1.0,74,1
1.0,3,2,67,0.0038175475547949714,21,0.1464968152866242,84,1.0,74,1
1.0,3,2,120,0.005792141117619956,21,0.22292993630573246,84,0.0,74,1
1.0,3,2,120,0.0028302507733824786,21,0.10828025477707007,84,0.0,74,1
1.0,2,2,90,0.004497136839333903,21,0.17280254777070064,84,0.0,74,1
1.0,2,2,90,0.003050747054564602,21,0.11681528662420382,84,0.0,74,1
1.0,3,2,90,0.005867833870861581,21,0.22585987261146495,84,0.0,74,1
1.0,3,2,90,0.0030902389258211016,21,0.11834394904458598,84,0.0,74,1
1.0,2,2,61,0.0033238991640887248,21,0.12738853503184713,84,1.0,74,1
1.0,2,2,61,0.0026821562561706045,21,0.10254777070063693,84,1.0,74,1
1.0,2,2,147,0.005956690581188705,21,0.22929936305732482,84,1.0,74,1
1.0,2,2,147,0.004804844336207464,21,0.18471337579617833,84,1.0,74,1
1.0,3,2,90,0.00801684986506944,21,0.30904458598726114,84,0.0,74,1
1.0,3,2,90,0.004344105838214967,21,0.16687898089171974,84,0.0,74,1
1.0,0,2,46,0.002501151846244981,21,0.09554140127388534,12,0.0,11,1
1.0,0,2,46,0.0018429539919699858,21,0.07006369426751592,12,0.0,11,1
1.0,3,2,120,0.003159349700519976,6,0.13658853503184712,61,1.0,55,2
1.0,3,2,120,0.0018429539919699858,6,0.07997070063694267,61,1.0,55,2
1.0,3,2,57,0.0047456065293227144,21,0.18242038216560508,84,0.0,74,1
1.0,3,2,57,0.00197788455209636,21,0.07528662420382165,84,0.0,74,1
1.0,3,2,57,0.007154610675969196,21,0.2756687898089172,84,0.0,74,1
1.0,3,2,57,0.005165372210886593,21,0.1986687898089172,84,0.0,74,1
1.0,2,2,57,0.00404791680379122,21,0.1554140127388535,84,0.0,74,1
1.0,2,2,57,0.0015237280326466135,21,0.057707006369426744,84,0.0,74,1
1.0,2,2,46,0.002866385835582176,21,0.10967898089171974,84,0.0,74,1
1.0,2,2,46,0.0014963799118014875,21,0.056648407643312096,84,0.0,74,1
1.0,2,2,75,0.005014249983545054,21,0.19281910828025478,84,0.0,74,1
1.0,2,2,75,0.0029611334167050614,21,0.11334649681528661,84,0.0,74,1
1.0,3,2,66,0.0050023036924899626,21,0.19235668789808916,84,0.0,74,1
1.0,3,2,66,0.0029618903442374775,21,0.11337579617834395,84,0.0,74,1
1.0,3,2,147,0.005147107220430461,21,0.19796178343949045,84,0.0,74,1
1.0,3,2,147,0.003613506219969723,21,0.13859872611464968,84,0.0,74,1
1.0,2,2,97,0.0026579016652405712,21,0.10160891719745223,84,1.0,74,1
1.0,2,2,97,0.001768906733364049,21,0.06719745222929936,84,1.0,74,1
1.0,3,2,120,0.007807872046337129,21,0.30095541401273884,84,0.0,74,1
1.0,3,2,120,0.003513131047192786,21,0.13471337579617834,84,0.0,74,1
1.0,2,2,46,0.000526558283419996,6,0.023354140127388536,52,0.0,46,1
1.0,2,2,46,0.00038833673402224704,6,0.017408917197452228,52,0.0,46,1
1.0,3,2,90,0.005779470808925162,21,0.22243949044585987,84,0.0,74,1
1.0,3,2,90,0.00448841571776476,21,0.17246496815286624,84,0.0,74,1
1.0,3,2,81,0.008879089054169682,21,0.34242038216560505,84,0.0,74,1
1.0,3,2,81,0.0072632133219245705,21,0.2798726114649681,84,0.0,74,1
1.0,2,2,90,0.0031264398078062264,21,0.1197452229299363,84,1.0,74,1
1.0,2,2,90,0.0025998815243862303,21,0.09936305732484076,84,1.0,74,1
1.0,2,2,90,0.004936483907062463,21,0.18980891719745221,84,0.0,74,1
1.0,2,2,90,0.003850457447508721,21,0.14777070063694267,84,0.0,74,1
1.0,2,2,92,0.0010401829790034883,7,0.05351337579617835,31,0.0,27,1
1.0,2,2,92,0.0005568682946093594,7,0.030128662420382164,31,0.0,27,1
1.0,2,2,46,0.0013493056012637396,7,0.06847133757961783,31,1.0,27,1
1.0,2,2,46,0.0010202066741262423,7,0.052547770700636945,31,1.0,27,1
1.0,3,2,34,0.004288159020601592,21,0.16471337579617834,84,0.0,74,1
1.0,3,2,34,0.0029882182584084773,21,0.11439490445859873,84,0.0,74,1
1.0,3,2,57,0.006540841176857763,21,0.2519108280254777,84,0.0,74,1
1.0,3,2,57,0.004714342131244652,21,0.18121019108280254,84,0.0,74,1
1.0,0,2,46,0.004475745409069966,21,0.17197452229299362,84,1.0,74,1
1.0,0,2,46,0.0037912196406239716,21,0.14547770700636942,84,1.0,74,1
1.0,3,2,120,0.008260383071151187,21,0.3184713375796178,84,0.0,74,1
1.0,3,2,120,0.0051339432633449615,21,0.19745222929936304,84,0.0,74,1
1.0,3,2,90,0.005792141117619956,21,0.22292993630573246,84,1.0,74,1
1.0,3,2,90,0.004640294872638715,21,0.17834394904458598,84,1.0,74,1
1.0,3,2,57,0.004969393799776212,21,0.19108280254777069,84,1.0,74,1
1.0,3,2,57,0.0028302507733824786,21,0.10828025477707007,84,1.0,74,1
1.0,2,2,57,0.006578687553478575,21,0.25337579617834394,84,1.0,74,1
1.0,2,2,57,0.003702362930296847,21,0.14203821656050955,84,1.0,74,1
1.0,3,2,145,0.0038175475547949714,21,0.1464968152866242,84,0.0,74,1
1.0,3,2,145,0.0029618903442374775,21,0.11337579617834395,84,0.0,74,1
1.0,3,2,120,0.006943987362601198,21,0.267515923566879,84,1.0,74,1
1.0,3,2,120,0.0017113144211149869,21,0.06496815286624204,84,1.0,74,1
1.0,3,2,116,0.0067794378990324485,21,0.2611464968152866,84,0.0,74,1
1.0,2,2,30,0.003159349700519976,21,0.12101910828025478,84,0.0,74,1
1.0,2,2,30,0.0023366023826762324,21,0.08917197452229299,84,0.0,74,1
1.0,3,2,120,0.008819851247284934,21,0.3401273885350318,84,1.0,74,1
1.0,3,2,120,0.005726321332192457,21,0.22038216560509552,84,1.0,74,1
1.0,1,2,81,0.006767919436582636,21,0.26070063694267515,84,1.0,74,1
1.0,1,2,81,0.004015006911077469,21,0.15414012738853503,84,1.0,74,1
1.0,3,2,81,0.006478312380701639,21,0.24949044585987262,84,0.0,74,1
1.0,3,2,81,0.004324359902586717,21,0.16611464968152864,84,0.0,74,1
1.0,2,2,46,0.0042717040742447174,21,0.1640764331210191,84,1.0,74,1
1.0,2,2,46,0.003037583097479102,21,0.11630573248407644,84,1.0,74,1
1.0,2,2,2,0.004475745409069966,21,0.17197452229299362,84,1.0,74,1
1.0,2,2,2,0.002507733824787731,21,0.09579617834394905,84,1.0,74,1
1.0,2,2,57,0.004146646481932468,21,0.1592356687898089,84,0.0,74,1
1.0,2,2,57,0.003159349700519976,21,0.12101910828025478,84,0.0,74,1
1.0,3,2,46,0.004146646481932468,21,0.1592356687898089,84,1.0,74,1
1.0,3,2,46,0.0034884486276574736,21,0.1337579617834395,84,1.0,74,1
1.0,0,3,8,0.025867175673007305,5,0.13076050955414012,22,0.0,19,2
1.0,2,3,147,0.004080826696504969,21,0.15668789808917197,84,0.0,74,1
1.0,2,3,147,0.002369512275389982,21,0.09044585987261146,84,0.0,74,1
1.0,2,2,90,0.006111367076943329,21,0.23528662420382163,84,0.0,74,1
1.0,2,2,90,0.001869281906140986,21,0.0710828025477707,84,0.0,74,1
1.0,3,2,145,0.00529849272691371,21,0.2038216560509554,84,0.0,74,1
1.0,3,2,145,0.0038175475547949714,21,0.1464968152866242,84,0.0,74,1
1.0,3,2,54,0.005128908049759758,21,0.19725732484076433,84,1.0,74,1
1.0,3,2,54,0.0038712235898110967,21,0.14857452229299362,84,1.0,74,1
1.0,3,2,127,0.008655301783716185,21,0.33375796178343947,84,0.0,74,1
1.0,3,2,127,0.005232672941486211,21,0.20127388535031845,84,0.0,74,1
1.0,3,2,120,0.008243928124794313,21,0.3178343949044586,84,1.0,74,1
1.0,3,2,120,0.004989139735404462,21,0.19184713375796178,84,1.0,74,1
1.0,3,2,29,0.005923780688474955,21,0.22802547770700635,84,1.0,74,1
1.0,3,2,29,0.005068123477917462,21,0.1949044585987261,84,1.0,74,1
1.0,2,2,57,0.002501151846244981,21,0.09554140127388534,84,0.0,74,1
1.0,2,2,57,0.0018429539919699858,21,0.07006369426751592,84,0.0,74,1
1.0,0,2,90,0.00404791680379122,21,0.1554140127388535,84,0.0,74,1
1.0,0,2,90,0.0015270190219179884,21,0.0578343949044586,84,0.0,74,1
1.0,1,2,81,0.006045185282695978,21,0.2327248407643312,84,0.0,74,1
1.0,1,2,81,0.004551800171131441,21,0.17491847133757962,84,0.0,74,1
1.0,1,2,145,0.006433884025538077,21,0.24777070063694268,84,0.0,74,1
1.0,1,2,145,0.004393470677285592,21,0.16878980891719744,84,0.0,74,1
1.0,3,2,57,0.0051339432633449615,21,0.19745222929936304,84,1.0,74,1
1.0,3,2,57,0.004344105838214967,21,0.16687898089171974,84,1.0,74,1
1.0,3,2,120,0.0067991838346606985,21,0.2619108280254777,84,0.0,74,1
1.0,3,2,120,0.0041499374712038435,21,0.15936305732484077,84,0.0,74,1
1.0,3,2,2,0.007334693608898835,21,0.28263949044585984,84,0.0,74,1
1.0,3,2,2,0.004411406568814585,21,0.16948407643312102,84,0.0,74,1
1.0,2,2,85,0.004274863423945238,21,0.16419872611464967,84,0.0,74,1
1.0,2,2,85,0.002804186138353189,21,0.10727133757961782,84,0.0,74,1
1.0,3,2,17,0.007766734680444941,21,0.29936305732484075,84,0.0,74,1
1.0,3,2,17,0.004804844336207464,21,0.18471337579617833,84,0.0,74,1
1.0,3,2,116,0.006121240044757454,21,0.2356687898089172,84,0.0,74,1
1.0,3,2,116,0.00036200881985124726,21,0.012738853503184714,84,0.0,74,1
1.0,3,2,57,0.0040643717501480945,21,0.15605095541401273,84,0.0,74,1
1.0,3,2,57,0.0022214177581781082,21,0.08471337579617834,84,0.0,74,1
1.0,1,2,81,0.0064404660040808265,21,0.24802547770700634,84,0.0,74,1
1.0,1,2,81,0.004847627196735338,21,0.18636942675159235,84,0.0,74,1
1.0,3,2,90,0.007733824787731191,21,0.2980891719745223,84,0.0,74,1
1.0,3,2,90,0.0066477983281774495,21,0.25605095541401274,84,0.0,74,1
1.0,3,2,57,0.005135259659053511,21,0.19750318471337577,84,0.0,74,1
